County/City,Ward,Pct,"Barbara Jean Comstock","Luann L. Bennett","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Prince William County",-,"413 - Reagan","1,090",675,5,0,"1,770"
"Prince William County",-,"510 - Yates Ford",712,430,5,0,"1,147"
"Prince William County",-,"Ab - Central Absentee Precinct","6,212","4,870",54,0,"11,136"
"Prince William County",-,Provisional,11,24,0,0,35
"Winchester City",-,"101 - Merrimans","1,048",836,5,0,"1,889"
"Winchester City",-,"102 - Old Town",835,607,8,0,"1,450"
"Winchester City",-,"201 - Virginia Avenue",715,"1,008",9,0,"1,732"
"Winchester City",-,"301 - War Memorial",878,826,7,0,"1,711"
"Winchester City",-,"401 - Frederick Douglass",473,367,5,0,845
"Winchester City",-,"402 - Rolling Hills",974,661,3,0,"1,638"
"Winchester City",-,"Ab - Central Absentee Precinct",572,661,2,0,"1,235"
"Winchester City",-,Provisional,2,4,0,0,6
TOTALS,,,"210,791","187,712","1,614",0,"400,117"
